caseid,lengua_materna,tipo_residencia,educacion_anios_simples,miembros_hogar,indice_de_riqueza,edad_primer_nacimiento,d104,d106,d107,d108,indice_violencia
      327108101  1,10,2.0,11,4,1.0,21.0,0,1,1,0,2
      327108101  2,10,2.0,9,4,1.0,,0,0,0,0,0
      327108301  2,10,2.0,8,5,1.0,18.0,1,1,0,1,3
      327108301  3,10,2.0,5,5,1.0,,0,0,0,0,0
      327200501  4,10,2.0,11,5,1.0,31.0,0,0,0,0,0
      327204401  2,10,2.0,6,5,2.0,19.0,0,0,0,0,0
      327204401  3,10,2.0,9,5,2.0,,0,0,0,0,0
      327205001  2,10,2.0,10,5,1.0,17.0,0,0,0,0,0
      327206401  2,10,2.0,16,5,2.0,19.0,0,0,0,0,0
      327206701  4,10,2.0,10,5,1.0,,0,0,0,0,0
      327207201  2,10,2.0,6,2,1.0,21.0,0,1,0,0,1
      327207501  2,10,2.0,8,5,1.0,17.0,0,0,0,0,0
      327209301  4,10,2.0,11,5,1.0,22.0,1,1,1,0,3
      327211401  2,10,2.0,9,4,1.0,24.0,0,0,0,0,0
      327211701  3,10,2.0,11,6,2.0,19.0,1,0,0,0,1
      327211701  5,10,2.0,12,6,2.0,24.0,0,0,0,0,0
      327211801  2,10,2.0,6,3,2.0,19.0,0,0,0,0,0
      327300601  2,10,2.0,6,3,1.0,18.0,0,0,0,0,0
      327300701  2,10,2.0,9,5,1.0,18.0,0,0,0,0,0
      327304101  1,10,2.0,2,4,1.0,18.0,1,1,1,1,4
      327304201  2,10,2.0,8,4,1.0,15.0,0,1,0,0,1
      327304301  2,10,2.0,4,5,1.0,14.0,0,1,1,1,3
      327309001  2,10,2.0,6,4,1.0,18.0,0,1,1,0,2
      327309401  2,10,2.0,3,3,1.0,19.0,0,0,0,0,0
      327309501  2,10,2.0,5,4,1.0,19.0,1,1,1,0,3
      327404901  2,10,2.0,9,4,2.0,16.0,0,0,0,0,0
      327405101  2,10,2.0,11,3,1.0,19.0,0,0,0,0,0
      327405401  2,10,2.0,8,4,1.0,15.0,0,0,0,0,0
      327406501  2,10,2.0,6,4,1.0,16.0,0,0,0,0,0
      327406801  3,10,2.0,6,4,2.0,,0,0,0,0,0
      327406901  2,10,2.0,14,4,2.0,28.0,0,1,0,0,1
      327407001  2,10,2.0,8,5,1.0,27.0,0,0,0,0,0
      327407001  5,10,2.0,7,5,1.0,,0,0,0,0,0
      327410301  2,10,2.0,5,5,1.0,19.0,1,1,0,0,2
      327410501  2,10,2.0,6,4,1.0,24.0,0,0,0,0,0
      327503401  2,10,1.0,16,3,4.0,24.0,0,0,0,0,0
      327506501  3,10,1.0,16,9,4.0,,0,0,0,0,0
      327506501  7,10,1.0,14,9,4.0,20.0,0,0,0,0,0
      327507201  3,10,1.0,12,6,3.0,21.0,0,0,0,0,0
      327508501  1,10,1.0,11,4,4.0,17.0,0,0,0,0,0
      327513401  2,10,1.0,10,4,4.0,17.0,0,0,0,0,0
      327600501  1,10,1.0,16,3,5.0,26.0,0,0,0,0,0
      327606801  5,10,1.0,16,6,5.0,,0,0,0,0,0
      327607801  2,10,1.0,16,5,4.0,20.0,0,0,0,0,0
      327608501  3,10,1.0,16,6,5.0,,0,0,0,0,0
      327608501  4,10,1.0,16,6,5.0,29.0,0,0,0,0,0
      327610901  1,10,1.0,12,7,4.0,18.0,0,0,0,0,0
      327611401  2,10,1.0,16,5,5.0,25.0,0,0,0,0,0
      327612101  2,10,1.0,14,3,5.0,21.0,0,0,0,0,0
      327702601  2,10,1.0,16,3,3.0,21.0,0,0,0,0,0
      327703801  3,10,1.0,8,5,3.0,,0,0,0,0,0
      327704001  2,10,1.0,14,6,3.0,16.0,0,0,0,0,0
      327704001  5,10,1.0,7,6,3.0,,0,0,0,0,0
      327704501  3,10,1.0,14,6,4.0,22.0,0,0,0,0,0
      327708801  2,10,1.0,13,6,2.0,18.0,0,0,0,0,0
      327709201  1,10,1.0,3,3,3.0,16.0,0,0,0,0,0
      327709201  3,10,1.0,12,3,3.0,,0,0,0,0,0
      327711501  1,10,1.0,16,3,4.0,24.0,0,1,0,0,1
      327712801  1,10,1.0,8,3,4.0,16.0,0,0,0,0,0
      327804001  3,10,1.0,11,5,3.0,17.0,0,0,0,0,0
      327804701  1,10,1.0,16,4,4.0,22.0,0,0,0,0,0
      327804701  2,10,1.0,10,4,4.0,,0,0,0,0,0
      327804701  3,10,1.0,9,4,4.0,,0,0,0,0,0
      327812301  4,10,1.0,15,6,4.0,32.0,0,0,0,0,0
      327814101  3,10,1.0,10,5,4.0,,0,0,0,0,0
      327815701  4,10,1.0,6,9,3.0,,0,0,0,0,0
      327815701  7,10,1.0,16,9,3.0,30.0,0,0,0,0,0
      327905001  4,10,1.0,16,5,4.0,18.0,0,0,0,0,0
      327905001  5,10,1.0,5,5,4.0,,0,0,0,0,0
      327909301  3,10,1.0,12,3,5.0,,0,0,0,0,0
      327910301  3,10,1.0,16,4,5.0,,0,0,0,0,0
      327911301  4,10,1.0,14,9,4.0,22.0,0,0,0,0,0
      327911301  9,10,1.0,16,9,4.0,,0,0,0,0,0
      327913001  2,10,1.0,13,4,3.0,21.0,0,0,0,0,0
      327913201  2,10,1.0,16,5,5.0,19.0,0,1,0,0,1
      327913701  3,10,1.0,17,4,5.0,31.0,0,0,0,0,0
      328000601  2,10,1.0,11,4,1.0,25.0,0,0,0,0,0
      328003201  2,10,1.0,12,3,1.0,21.0,0,0,0,0,0
      328004701  2,1,1.0,11,4,3.0,26.0,0,0,0,0,0
      328005101  3,10,1.0,12,9,3.0,,0,0,0,0,0
      328005101  4,10,1.0,13,9,3.0,,0,0,0,0,0
      328005101  8,10,1.0,15,9,3.0,20.0,0,0,0,0,0
      328007101  2,1,1.0,6,4,3.0,32.0,0,1,0,0,1
      328008801  2,10,1.0,11,4,4.0,21.0,0,0,0,0,0
      328010701  2,10,1.0,14,5,2.0,17.0,0,0,0,0,0
      328010701  3,10,1.0,10,5,2.0,,0,0,0,0,0
      328102601 10,10,1.0,14,11,3.0,28.0,0,0,0,0,0
      328104701  1,1,1.0,11,5,2.0,20.0,0,0,0,0,0
      328104701  2,10,1.0,13,5,2.0,,0,0,0,0,0
      328104701  3,10,1.0,11,5,2.0,,0,0,0,0,0
      328105101  2,10,1.0,11,3,2.0,18.0,0,0,0,0,0
      328107501  2,1,1.0,11,4,2.0,25.0,0,1,0,0,1
      328110801  2,10,1.0,8,5,2.0,23.0,0,0,0,0,0
      328111101  2,10,1.0,11,4,2.0,18.0,1,0,0,0,1
      328111101  3,10,1.0,9,4,2.0,,0,0,0,0,0
      328111201  2,10,1.0,12,5,2.0,16.0,1,1,0,0,2
      328111401  2,10,1.0,7,6,2.0,18.0,0,1,0,0,1
      328200801  2,10,1.0,15,3,2.0,29.0,0,0,0,0,0
      328200802  1,10,1.0,16,4,3.0,31.0,0,0,0,0,0
      328200901  1,10,1.0,12,3,1.0,,0,0,0,0,0
      328202401  1,10,1.0,16,3,2.0,30.0,1,0,0,0,1
      328203401  2,10,1.0,14,4,2.0,22.0,0,1,0,0,1
      328204701  1,10,1.0,16,3,3.0,24.0,0,0,0,0,0
      328205101  2,10,1.0,17,4,3.0,23.0,0,0,0,0,0
      328301401  2,1,1.0,11,3,2.0,26.0,0,0,0,0,0
